id,latitude,longitude,municipality,name,town,website_link
1,45.86141944,15.2004,Novo mesto,Ajdov grad,Sela pri Štravberku,https://sl.wikipedia.org/wiki/Ajdov_grad
2,46.12646944,14.76216111,Moravče,Grad Belnek,Drtija,https://sl.wikipedia.org/wiki/Grad_Belnek
3,46.045,15.69388889,Brežice,Grad Bizeljsko,Bizeljska vas,https://sl.wikipedia.org/wiki/Grad_Bizeljsko
4,46.37,14.10111111,Bled,Grad Bled,Bled,https://sl.wikipedia.org/wiki/Blejski_grad
5,46.02388889,14.85805556,Šmartno pri Litiji,Grad Bogenšperk,Bogenšperk,https://sl.wikipedia.org/wiki/Grad_Bogen%C5%A1perk
6,46.04811111,14.44461944,Ljubljana,Grad Bokalce,Ljubljana,https://sl.wikipedia.org/wiki/Grad_Bokalce
7,46.375,16.00388889,Cirkulane,Grad Borl,Dolane,https://sl.wikipedia.org/wiki/Grad_Borl
8,46.01888889,15.26888889,Sevnica,Grad Boštanj,Boštanj,https://sl.wikipedia.org/wiki/Grad_Bo%C5%A1tanj_(Sawenstein)
9,45.93481667,14.67829167,Grosuplje,Grad Boštanj,Veliko Mlačevo,https://sl.wikipedia.org/wiki/Grad_Bo%C5%A1tanj_(Weissenstein)
10,46.28194444,14.39,Kranj,Grad Brdo pri Kranju,Predoslje,https://sl.wikipedia.org/wiki/Grad_Brdo_pri_Kranju
11,46.16888889,14.68388889,Lukovica,Grad Brdo pri Lukovici,Brdo pri Lukovici,https://sl.wikipedia.org/wiki/Grad_Brdo_pri_Lukovici
12,45.74983056,14.71625833,Ribnica,Grad Breg,Breg pri Ribnici na Dolenjskem,https://sl.wikipedia.org/wiki/Grad_Breg
13,45.90194444,15.59194444,Brežice,Grad Brežice,Brežice,https://sl.wikipedia.org/wiki/Grad_Bre%C5%BEice
14,46.22,15.27194444,Celje,Grad Celje,Celje,https://sl.wikipedia.org/wiki/Celjski_grad
15,46.22888889,15.26111111,Celje,Celje (spodnji grad),Celje,"https://sl.wikipedia.org/wiki/Kne%C5%BEji_dvorec,_Celje"
16,46.705,15.78694444,Šentilj,Grad Cmurek,Trate,https://sl.wikipedia.org/wiki/Grad_Cmurek
17,45.92621389,15.20414444,Mokronog - Trebelno,Čretež (zgornji grad),Dolenje Laknice,https://sl.wikipedia.org/wiki/Grad_Zgornji_%C4%8Crete%C5%BE
18,45.92728333,15.20398889,Mokronog - Trebelno,Čretež (spodnji grad),Dolenje Laknice,https://sl.wikipedia.org/wiki/Grad_Spodnji_%C4%8Crete%C5%BE
19,45.885,14.68363889,Grosuplje,Grad Čušperk,Čušperk,https://sl.wikipedia.org/wiki/Grad_%C4%8Cu%C5%A1perk
20,46.33694444,15.21,Dobrna,Grad Dobrna,Lokovina,https://sl.wikipedia.org/wiki/Grad_Dobrna
21,45.99694444,13.52388889,Brda,Grad Dobrovo,Dobrovo,https://sl.wikipedia.org/wiki/Grad_Dobrovo
22,46.59305556,15.01805556,Dravograd,Dravograd,Dravograd,https://sl.wikipedia.org/wiki/Grad_Dravograd
23,46.36,15.13111111,Velenje,Grad Ekenštajn,Velenje,https://sl.wikipedia.org/wiki/Grad_Eken%C5%A1tajn
24,46.02791667,15.21305556,Sevnica,Grad Erkenštajn,Log pri Vrhovem,https://sl.wikipedia.org/wiki/Grad_Erken%C5%A1tajn
25,46.545,15.44888889,Ruše,Fala (spodnji grad),Fala,https://sl.wikipedia.org/wiki/Grad_Fala
26,46.42194444,15.08305556,Šoštanj,Grad Forhtenek,Šoštanj,https://sl.wikipedia.org/wiki/Grad_Forhtenek
